Score;Max Tile;Avg Move Time;Run Time
1156;128;0;0,4117098
636;64;0;0,3361951
1348;128;0;0,4676011
768;64;0;0,3858631
580;64;0;0,3034343
1140;128;0;0,4222808
1128;128;0;0,4321304
260;32;0;0,2115416
1140;128;0;0,3992641
1156;128;0;0,4387747
1296;128;0;0,4832118
1368;128;0;0,510778
792;64;0;0,3262599
728;64;0;0,3048619
384;32;0;0,2255961
1248;128;0;0,4346406
1044;128;0;0,3946898
692;64;0;0,3337796
324;32;0;0,216399
488;64;0;0,2650757
740;64;0;0,3134774
596;64;0;0,2896684
1440;128;0;0,5554512
1020;128;0;0,3842865
768;64;0;0,3369791
1440;128;0;0,5717857
2384;256;0;0,6918823
900;64;0;0,3666563
1060;128;0;0,3774089
972;128;0;0,3762444
1516;128;0;0,5549744
628;64;0;0,2918726
276;32;0;0,192707
712;64;0;0,3596093
1352;128;0;0,4890132
548;64;0;0,3174467
840;64;0;0,3925868
2336;256;0;0,6828989
820;64;0;0,3677726
836;64;0;0,3336512
1208;128;0;0,486235
980;64;0;0,447114
2804;256;0;0,8169592
776;64;0;0,3379609
1040;128;0;0,389269
580;64;0;0,2764936
808;64;0;0,4333035
1008;128;0;0,4039413
632;64;0;0,3426446
728;64;0;0,3592491
1776;128;0;0,665892
648;64;0;0,3353377
1416;128;0;0,5216983
1188;128;0;0,5420532
1252;128;0;0,4944953
1236;128;0;0,5653999
2444;256;0;0,8570487
580;64;0;0,320504
280;32;0;0,198902
2620;256;0;0,8741893
1128;128;0;0,475383
644;64;0;0,2871615
672;64;0;0,3109382
484;64;0;0,2412968
1016;64;0;0,422092
1048;128;0;0,4052149
480;64;0;0,2945405
1104;128;0;0,424734
1376;128;0;0,5318263
1140;128;0;0,4625401
1392;128;0;0,5512672
1440;128;0;0,5470046
1088;64;0;0,4618625
580;64;0;0,2965251
296;32;0;0,1826344
668;64;0;0,310049
1320;128;0;0,470156
736;64;0;0,3211326
948;64;0;0,3890223
828;64;0;0,404619
